seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
109,1.0,0.05,0.0,0,6.714999184383153,-6.714999184383155,-1.7763568394002505e-15,3.5,4.8721695742521485
110,1.0,0.05,0.0,0,-2.908138697176259,2.908138697176259,0.0,3.209186130282374,3.595680210180348
111,1.0,0.05,1.0,2,-4.75,8.524503535266348,3.774503535266348,2.433713406966448,3.5
112,1.0,0.05,1.0,2,-4.75,2.039046045164419,-2.710953954835581,2.906344974672053,3.5
113,1.0,0.05,1.0,3,-4.75,4.972659537210422,0.2226595372104221,2.7150697834815136,3.535192846436266
114,1.0,0.05,0.0,0,14.755111309076867,-14.755111309076865,1.7763568394002505e-15,3.5,5.26068121589366
115,1.0,0.05,0.0,0,1.9093806638395794,-1.9093806638395794,0.0,3.5,3.815881348344914
116,1.0,0.05,0.0,0,12.126863025149472,-12.12686302514947,1.7763568394002505e-15,3.5,4.999718549946798
117,1.0,0.05,0.0,0,5.0222270307435295,-5.022227030743531,-1.7763568394002505e-15,3.5,4.30264630705557
118,1.0,0.05,0.0,0,6.08270866793913,-6.082708667939132,-1.7763568394002505e-15,3.4135763581623353,4.611458657173508
119,1.0,0.05,0.0,0,14.071586963880613,-14.071586963880609,3.552713678800501e-15,3.5,5.068320754077078
120,1.0,0.05,0.0,0,19.265469321235308,-19.265469321235305,3.552713678800501e-15,3.5,5.4265469321235305
121,1.0,0.05,1.0,4,-4.75,5.1309546706745035,0.3809546706745035,2.8934384954081755,3.667341710532358
122,1.0,0.05,0.0,0,-3.2936335506469305,3.2936335506469305,0.0,3.170636644935307,3.796970068113349
123,1.0,0.05,0.0,0,8.500391431933856,-8.500391431933858,-1.7763568394002505e-15,3.5,4.380850786260969
124,1.0,0.05,1.0,5,-4.75,3.6734270366851174,-1.0765729633148826,2.6707847510943497,3.7694182655718147
125,1.0,0.05,0.0,0,17.833988336804282,-17.83398833680428,3.552713678800501e-15,3.5,5.283398833680428
126,1.0,0.05,1.0,2,-4.75,-6.68557686324319,-11.43557686324319,3.0218402370926696,4.461816353370051
127,1.0,0.05,1.0,2,-4.75,10.418093623985346,5.668093623985346,2.4320146787242978,3.5
128,1.0,0.05,0.0,0,-0.44684232492437914,0.44684232492437914,0.0,3.334362555051675,4.060953318859925
129,1.0,0.05,0.0,0,10.516398647698804,-10.516398647698804,0.0,3.5,4.887705299454945
130,1.0,0.05,0.0,0,7.961069732410344,-7.961069732410344,0.0,3.0840673581306537,4.296106973241034
131,1.0,0.05,1.0,2,-4.75,7.486167401184547,2.736167401184547,2.721327743202346,3.5
132,1.0,0.05,1.0,5,-4.75,5.684636405317671,0.9346364053176712,2.7890742921228755,3.903864929820039
133,1.0,0.05,0.0,0,2.0978312380084674,-2.0978312380084674,0.0,3.1190427757048282,4.069806633082111
134,1.0,0.05,1.0,2,-4.75,12.972182877862682,8.222182877862682,2.202781712213732,3.5
135,1.0,0.05,1.0,2,-4.75,-2.8843278969311914,-7.634327896931191,2.7668898899532515,3.788432789693119
136,1.0,0.05,0.0,0,5.970326529359269,-5.970326529359271,-1.7763568394002505e-15,3.4556279072973504,4.700276641760459
137,1.0,0.05,0.0,0,11.168884213074648,-11.168884213074648,0.0,3.5,4.616888421307465
138,1.0,0.05,1.0,2,-4.75,5.790084669742774,1.0400846697427744,2.6376270485650943,3.5
139,1.0,0.05,0.0,0,-1.262177214240067,1.2621772142400678,8.881784197001252e-16,3.373782278575993,3.5446562621550814
140,1.0,0.05,0.0,0,3.84413289069062,-3.844132890690619,8.881784197001252e-16,3.4831388893063058,3.884413289069062
141,1.0,0.05,1.0,4,-4.75,5.6989470536029385,0.9489470536029385,2.8962372153824067,3.5
142,1.0,0.05,0.0,0,20.85751739433038,-20.857517394330376,3.552713678800501e-15,3.5,5.585751739433038
143,1.0,0.05,0.0,0,1.7506772933269819,-1.750677293326981,8.881784197001252e-16,3.1838777831548164,3.675067729332698
144,1.0,0.05,1.0,2,-4.75,4.161961617567256,-0.5880383824327442,2.5462292885658804,3.5
145,1.0,0.05,1.0,2,-4.75,12.46923400186616,7.719234001866161,2.253076599813384,3.5
146,1.0,0.05,1.0,5,-4.75,5.921361768728377,1.171361768728377,2.9078638231271623,3.818416173600846
147,1.0,0.05,1.0,3,-4.75,4.299956328566186,-0.4500436714338143,2.560360893045826,3.5111774780626233
148,1.0,0.05,1.0,1,-4.75,-7.773316749658354,-12.523316749658354,2.9841566204619547,4.3198765941666375
149,1.0,0.05,0.0,0,-0.3476636208251236,0.3476636208251227,-8.881784197001252e-16,3.0978468462193223,3.821521763435938
150,1.0,0.05,1.0,1,-4.75,4.404036728608256,-0.345963271391744,2.8189694275494985,3.5
151,1.0,0.05,0.0,0,-3.2135700448824345,3.2135700448824345,0.0,3.0468571744357713,3.5
