seed,liquidity,spot,hedged_qty,unhedged_rev,hedged_rev
71,0.25,2.209492759274241,25.0,220.94927592742408,250.2578958416949
72,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
73,0.25,2.6986805503124818,25.0,269.86805503124816,286.94698016955846
74,0.25,3.8296099929682366,25.0,382.9609992968237,371.76668836873995
75,0.25,1.999231723470852,25.0,199.9231723470852,234.4883181564341
76,0.25,2.837044860895655,25.0,283.7044860895655,297.3243034633012
77,0.25,4.025958296000295,25.0,402.59582960002945,386.49281109614594
78,0.25,5.713106769843826,25.0,571.3106769843826,513.0289466344211
79,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
80,0.25,4.23237359180038,25.0,423.237359180038,401.9739582811555
81,0.25,3.642837709673359,25.0,364.2837709673359,357.7587671216343
82,0.25,5.1694327785892495,25.0,516.943277858925,472.25339729031805
83,0.25,2.6986805503124818,25.0,269.86805503124816,286.94698016955846
84,0.25,3.8296099929682357,25.0,382.96099929682356,371.76668836873984
85,0.25,1.999231723470852,25.0,199.9231723470852,234.4883181564341
86,0.25,4.677496208089153,25.0,467.74962080891527,435.3581545028148
87,0.25,2.4418671412486086,25.0,244.18671412486086,267.6859744897615
88,0.25,2.1017345258429305,25.0,210.17345258429305,242.1760283343483
89,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
90,0.25,4.23237359180038,25.0,423.237359180038,401.9739582811555
91,0.25,3.642837709673359,25.0,364.2837709673359,357.7587671216343
92,0.25,3.1354194735378487,25.0,313.54194735378485,319.7023994114651
93,0.25,2.6986805503124818,25.0,269.86805503124816,286.94698016955846
94,0.25,3.8296099929682366,25.0,382.9609992968237,371.76668836873995
95,0.25,3.2961758675448705,25.0,329.61758675448704,331.7591289619949
96,0.25,2.837044860895655,25.0,283.7044860895655,297.3243034633012
97,0.25,2.4418671412486086,25.0,244.18671412486086,267.6859744897615
98,0.25,3.465174418122088,25.0,346.5174418122088,344.4340202552749
99,0.25,2.9825032613817397,25.0,298.250326138174,308.2336834997646
0,0.5,2.5670643467850125,50.0,256.70643467850124,297.44509513150507
1,0.5,3.642837709673359,50.0,364.2837709673359,351.2337632759182
2,0.5,3.1354194735378487,50.0,313.54194735378485,325.86285146913076
3,0.5,4.449372026124917,50.0,444.93720261249166,391.56047909849497
